"participant","pair_delta_learning_phase","pair_delta_reversal_phase","delta_learning_phase_above_pair_type","delta_reversal_phase_above_pair_type","total_correct_learning_phase","total_correct_reversal_phase","delta_reversed_pair_end_of_phases","delta_non_reversed_pair_end_of_phases","delta_reversed_pair_within_switch_point","delta_non_reversed_pair_within_switch_point","delta_reversed_pair_throughout_reversal_phase","delta_non_reversed_pair_throughout_reversal_phase","total_correct_per_participant"
"sub_931",0,-1,0,2,48,42,3,4,2,2,-1,-4,90
"sub_936",1,6,0,11,42,35,6,1,3,3,-3,0,77
"sub_938",3,0,4,11,36,35,1,4,2,2,1,-3,71
"sub_946",-3,0,-9,3,41,41,2,-1,4,4,2,-1,82
"sub_953",0,2,-1,4,43,32,5,3,7,7,2,1,75
"sub_954",3,0,10,14,40,40,-2,1,4,4,6,-2,80
"sub_969",-1,0,0,-2,52,34,9,8,3,3,-6,-4,86
"sub_981",0,10,-4,24,56,36,10,0,5,5,-5,0,92
"sub_985",3,0,-1,0,33,30,-1,2,-1,-1,0,1,63
"sub_986",7,8,10,25,36,29,2,1,2,2,0,1,65
"sub_987",1,9,0,20,56,36,9,1,1,1,-8,0,92
"sub_990",0,-1,-1,2,53,44,1,2,4,4,3,-1,97
"sub_996",-1,5,-4,20,44,22,9,3,8,8,-1,-5,66
"sub_998",1,7,2,23,40,29,6,0,6,6,0,-1,69
