trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,total_learning_time,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,11,11,11,,,,,,,,,False,31,112,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3924721207868901,1,valid_win,793.7208689999998,64,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,12,12,12,,,,,,,,,False,32,113,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.11504376737760025,0,invalid_lose,798.9861842999999,64,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,13,13,13,,,,,,,,,False,33,114,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8022943139355094,0,valid_lose,808.3848613,64,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,False,34,115,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.7943849023579809,1,valid_win,815.7166020000004,65,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,False,35,116,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7747139813408057,1,valid_win,819.9397868000005,66,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,False,36,117,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.7674872477711436,0,valid_lose,824.8817401000006,66,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,False,37,118,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.18207563257886694,0,invalid_lose,829.0325438999998,66,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,False,38,119,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.9386954567493571,1,valid_win,834.8315856999998,67,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,False,39,120,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5630479686627564,1,valid_win,839.2413877999998,68,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp1.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],917.1796951000006,None,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],919.6111058000006,None,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp3.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],920.8336409000003,None,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],921.9464867000006,None,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,False,40,121,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.23032465821425607,0,invalid_lose,850.3799624000003,68,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,False,41,122,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3951559624035984,1,valid_win,855.0786376000005,69,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,False,42,123,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.6493827663074868,1,valid_win,859.7284645999998,70,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,False,43,124,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.42689384217955817,1,valid_win,864.1110461999997,71,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,False,44,125,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.9852072668037579,1,valid_win,872.7263788999999,72,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,False,45,126,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.03353938434156223,0,invalid_lose,877.5759509,72,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,False,46,127,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.04478511942490371,0,invalid_lose,882.8386471000003,72,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,False,47,128,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5120198897451481,1,valid_win,888.6249383000004,73,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
