trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.12863549295803167,0,invalid_lose,54.89658280000003,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.3420756630685301,0,valid_lose,58.82840440000018,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.10607993353312617,0,invalid_lose,62.66062890000012,4,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.69046833488383,1,valid_win,66.62594999999965,5,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8481191261426759,1,valid_win,70.84104360000038,6,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7810359759257235,0,valid_lose,74.75648160000037,6,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.17496640225924243,1,invalid_win,78.82167779999963,7,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.4496787020059686,0,valid_lose,82.97021599999971,7,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5572130556367055,0,valid_lose,86.75252799999998,7,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.02300079999986,None,None,[],,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.30054219999965,None,None,[],,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.49720009999965,69.0,3.242491500000142,"[(69.0, 3.242491500000142)]",69.0,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.82789400000001,35.0,4.176252900000691,"[(35.0, 4.176252900000691)]",,35.0,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.1730432220766438,1,invalid_win,118.99196029999985,8,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.22263487851010277,1,invalid_win,123.1566929999999,9,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.870687871319932,1,valid_win,127.03866300000027,10,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6651546468327014,0,valid_lose,130.88724809999985,10,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.38376161998929925,1,valid_win,134.8860735999997,11,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8014629993157613,0,valid_lose,138.78451180000047,11,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6238104044708878,0,valid_lose,142.58367309999994,11,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.937498632675317,0,valid_lose,146.3656079000002,11,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.45061925184115437,0,valid_lose,150.83056000000033,11,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.10079796797847662,1,invalid_win,154.58138570000028,12,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.777533037563587,0,valid_lose,158.91191040000012,12,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.56474435562305,1,valid_win,162.74362870000004,13,,,,,,,,,,,,,sub_265,2023-12-13_16h47.38.598,Reversal,2023.1.3,60.043723839517185,1,
