trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.15740853509687225,0,invalid_lose,2.9147609999999986,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.3756135849846951,0,valid_lose,8.046160999999302,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.8972996045702012,0,valid_lose,14.043711899999835,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.8002398851196485,0,valid_lose,18.1923627999995,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.8556543413096391,0,valid_lose,22.957194499999787,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.5507998590353677,0,valid_lose,27.622503399999914,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.7411787238390346,0,valid_lose,32.37079579999954,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.6542659379267017,0,valid_lose,37.61931619999996,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.023026296499438215,0,invalid_lose,42.96705039999961,0,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.40598900034105156,1,valid_win,47.365794899999855,1,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.17884554799767494,1,invalid_win,52.580633300000045,2,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.080648334815425,0,invalid_lose,56.9123598999995,2,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.3720321377319432,1,valid_win,61.14428700000008,3,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.018846209266384917,0,invalid_lose,65.32642319999923,3,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.13688835294109492,1,invalid_win,69.72444969999924,4,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.16521798361198303,1,invalid_win,73.95668939999996,5,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.9251824160403216,0,valid_lose,78.4552694999993,5,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.071076759609906,0,invalid_lose,82.80366819999927,5,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.9285577499574487,0,valid_lose,87.5185066999993,5,,,,,,,,,,,,,,,sub_916,2024-04-01_13h00.04.635,Reversal,2023.1.3,60.05025004923449,4,
