trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,False,35,96,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp1.png,exp2.png,1,3,reversed,incorrect,0.4967212659437199,0,valid_lose,549.7734722000314,64,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,False,36,97,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.32623977628652023,1,valid_win,554.8902036000509,65,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,False,37,98,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.3632896336641305,1,valid_win,559.3564291000366,66,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,False,38,99,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.5401848853076336,1,valid_win,564.8401531000854,67,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,False,39,100,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.7921440933610924,1,valid_win,569.2727179999929,68,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp1.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,75.0,2.6318057000171393,"[(75.0, 2.6318057000171393)]",646.0740651999367,None,,,75.0,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,29.0,2.7517027999274433,"[(29.0, 2.7517027999274433)]",650.9856677999487,None,,,,29.0,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp3.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,80.0,1.250950300018303,"[(80.0, 1.250950300018303)]",654.8192829999607,None,80.0,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,76.0,3.0172656000358984,"[(76.0, 3.0172656000358984)]",657.102840699954,None,,76.0,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,False,40,101,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.08944905333741615,0,invalid_lose,589.2896191000473,68,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,False,41,102,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp1.png,exp2.png,1,3,reversed,incorrect,0.7771084595687056,0,valid_lose,594.4061830000719,68,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,False,42,103,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.6787528969896253,0,valid_lose,599.4893350000493,68,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,False,43,104,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.40866252540825476,1,valid_win,604.1894529000856,69,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,False,44,105,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.17294360907608652,1,invalid_win,610.1062434000196,70,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,False,45,106,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.9788091851449678,1,valid_win,614.8894668000285,71,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
