trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,trial.stopped,feedback_preparation.started,feedback_preparation.stopped,feedback.started,feedback.stopped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation.started,estimation_rating.started,estimation.stopped,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54.284652900000765,,0.013041600000178732,29.072742700000163,29.072792599999957,33.53764610000053,33.5376767000007,40.70545570000013,40.705507800000305,46.81984840000041,46.81989930000054,53.919393900000614,53.94957330000034,53.95064380000076,53.950676000000385,True,54.08248580000054,54.082524500000545,54.11158570000043,54.111600700000054,54.12723360000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,54.284652900000765,,,,,,,,,,,,54.12749460000032,54.127749200000835,54.127761500000815,False,59.233211600000686,59.233747799999946,59.84786240000085,59.847905399999945,61.646376200000304,0,1,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4748718689752488,0,valid_lose,5.314276699999937,0,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,61.825643900000614,,,,,,,,,,,,61.64751560000059,61.64872950000063,61.64878610000051,False,65.49931250000009,65.49983180000072,66.11412689999997,66.1141563000001,67.91157370000019,1,2,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8001017462442942,0,valid_lose,11.580360599999949,0,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,68.06912809999994,,,,,,,,,,,,67.91245920000074,67.91346420000082,67.91351410000061,False,70.56558940000014,70.56631470000048,71.17967350000072,71.17970370000057,72.97802600000068,2,3,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.4357182509226537,1,valid_win,16.646832200000063,1,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,73.12724680000065,,,,,,,,,,,,72.97905880000053,72.98023600000033,72.9802922000008,False,75.34728200000063,75.34784290000061,75.96286970000074,75.96289640000032,77.76043780000055,3,4,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2700528537530412,1,valid_win,21.42837359999976,2,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,77.91582160000053,,,,,,,,,,,,77.76144420000037,77.76253970000016,77.76259520000076,False,81.23016000000007,81.23059490000014,81.8446597000002,81.84469080000054,83.64302490000046,4,5,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.34464952635985235,1,valid_win,27.311128800000006,3,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,83.79132879999997,,,,,,,,,,,,83.64400540000042,83.64516090000052,83.64521740000055,False,87.0296330000001,87.03056480000032,87.64449800000057,87.64454320000004,89.44217000000026,5,6,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.32629834431017724,1,valid_win,33.11107919999995,4,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,89.59505090000039,,,,,,,,,,,,89.44306360000064,89.44404610000038,89.44409580000047,False,91.51342720000048,91.51413840000077,92.12713600000006,92.12717659999998,93.92527580000024,6,7,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7660641636287467,1,valid_win,37.59465799999998,5,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,94.07384280000042,,,,,,,,,,,,93.92649240000083,93.92766310000025,93.92771940000057,False,95.9617704000002,95.96233640000082,96.57631680000031,96.57635730000038,98.37433540000075,7,8,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7583050682621711,1,valid_win,42.04286409999986,6,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,98.54335480000009,,,,,,,,,,,,98.37525570000071,98.37619590000031,98.37624520000008,False,101.56067640000037,101.5612073000002,102.17605100000037,102.17609830000038,103.97386030000052,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7926826521913584,1,valid_win,47.64173549999941,7,,,,,,,,,,,,,,,,,,,,sub_818,2024-12-08_11h58.41.535,Reversal,2023.2.1,59.958364911532364,2,2024-12-08 11h58.53.827061 +0200,
