trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.9806821937135141,0,valid_lose,69.04195849999996,6,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.3404004980897384,0,valid_lose,74.12374509999972,6,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9885154483504185,1,valid_win,79.72195929999998,7,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.9986856994821748,0,valid_lose,86.30307770000036,7,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3903963488540878,1,valid_win,90.72016020000046,8,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.10858590224483111,0,invalid_lose,95.43501379999998,8,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5501242882486649,1,valid_win,100.63165850000041,9,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9508365644993804,1,valid_win,105.66285030000017,10,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.020557266017247056,1,invalid_win,111.09445890000006,11,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.18621110000004,55.0,55.0,9.777304700000059,"[(55.0, 9.777304700000059)]",,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.09494959999938,,54.0,4.859423099999731,"[(54.0, 4.859423099999731)]",54.0,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.90667809999923,,49.0,3.0791095000004134,"[(49.0, 3.0791095000004134)]",,49.0,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.93870419999985,,None,None,[],,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7500642741617841,0,valid_lose,141.1677851000004,11,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.6560823204109312,0,valid_lose,148.03173440000046,11,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.5032967838469701,0,valid_lose,152.39691089999997,11,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3910671826515336,1,valid_win,156.82894940000006,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.6491378703823562,0,valid_lose,161.44394399999965,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.8376632462193463,0,valid_lose,166.00901479999993,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2413749939333496,0,invalid_lose,170.04100720000042,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.17623463324188937,0,invalid_lose,174.7061837000001,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.058940679692510156,0,invalid_lose,179.2046350999999,12,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.234659678243484,1,invalid_win,183.6698561000003,13,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9735214044589149,1,valid_win,188.26817759999994,14,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.6779620565667873,1,valid_win,192.55004610000015,15,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9036768454078489,1,valid_win,197.63204889999997,16,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9329579798742473,1,valid_win,202.58073570000033,17,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5868577740808828,1,valid_win,207.1785716000004,18,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.0789324061462594,1,invalid_win,211.97746129999996,19,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5626646484575506,1,valid_win,216.45870100000047,20,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.916418515733295,1,valid_win,221.17386710000028,21,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.14533129760965124,1,invalid_win,225.40591550000045,22,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
