trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9646831517508129,1,valid_win,293.58186899999964,22,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9954704818430312,1,valid_win,298.6465275999999,23,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9791624188271959,1,valid_win,303.4782573000002,24,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.76154210000004,,None,None,[],,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.85794669999996,,None,None,[],,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.9085468000003,,1.0,2.193704500000422,"[(1.0, 2.193704500000422)]",1.0,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.3910222000004,,100.0,1.2784805999999662,"[(100.0, 1.2784805999999662)]",,100.0,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
0,exp1.png,exp2.png,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4084832043807056,1,valid_win,325.68731969999953,25,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
1,exp3.png,exp4.png,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.2896298621588379,1,valid_win,330.7020671,26,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
2,exp1.png,exp2.png,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4997306055588332,1,valid_win,335.5674164000002,27,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
3,exp3.png,exp4.png,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.017186441820112752,0,invalid_lose,340.53226149999955,27,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
4,exp1.png,exp2.png,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.3045558439060164,0,valid_lose,349.51336679999986,27,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
5,exp3.png,exp4.png,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.24601876820323088,0,invalid_lose,353.9775731999998,27,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
6,exp1.png,exp2.png,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.5774449089736182,1,valid_win,358.65945360000023,28,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
7,exp3.png,exp4.png,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,47,48,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.0005830472456802571,0,invalid_lose,364.0908263000001,28,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
8,exp1.png,exp2.png,,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,48,49,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.8617123785918447,0,valid_lose,370.1726487999995,28,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
9,exp3.png,exp4.png,,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,49,50,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8365447095158471,0,valid_lose,374.9706752000002,28,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
10,exp1.png,exp2.png,,2,0,2,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,50,51,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.09458998565172028,0,invalid_lose,380.85189209999953,28,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
11,exp3.png,exp4.png,,2,0,2,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,51,52,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.5218194961221658,1,valid_win,389.79907319999984,29,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
12,exp1.png,exp2.png,,2,0,2,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,52,53,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.6394711512163511,0,valid_lose,395.46355250000033,29,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
13,exp3.png,exp4.png,,2,0,2,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,53,54,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9579617546113509,1,valid_win,400.56231359999947,30,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
14,exp1.png,exp2.png,,2,0,2,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,54,55,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.28795392622607585,1,valid_win,404.7271314999998,31,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
15,exp3.png,exp4.png,,2,0,2,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,55,56,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8128402303610555,1,valid_win,408.65937140000005,32,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
16,exp1.png,exp2.png,,2,0,2,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,56,57,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9060896796033424,1,valid_win,412.4913101000002,33,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
