trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp4.png,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
15,exp3.png,exp4.png,,2,0,2,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,55,56,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.2197868134259281,1,invalid_win,391.18292410000004,28,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
16,exp1.png,exp2.png,,2,0,2,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,56,57,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.20848199306376936,0,invalid_lose,396.330457,28,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
17,exp3.png,exp4.png,,2,0,2,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,57,58,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9777021295716463,1,valid_win,401.8629108,29,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
18,exp1.png,exp2.png,,2,0,2,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,58,59,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.16960296279572395,1,invalid_win,407.1102858999998,30,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
19,exp3.png,exp4.png,,2,0,2,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,59,60,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.34034817881706725,1,valid_win,413.9414850999997,31,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
20,exp1.png,exp2.png,,2,0,2,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
,,,exp1.png,2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.87282369999957,1.0,7.713727100000142,"[(1.0, 7.713727100000142)]",,1.0,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
,,,exp2.png,2,0,2,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.2168566999999,82.0,2.927751199999875,"[(82.0, 2.927751199999875)]",,,82.0,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
,,,exp3.png,2,0,2,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.16450769999983,1.0,2.3614526999999725,"[(1.0, 2.3614526999999725)]",,,,1.0,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
,,,exp4.png,2,0,2,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.7145053999998,100.0,1.5963671999998041,"[(100.0, 1.5963671999998041)]",100.0,,,,,,,,,,,,,sub_908,2024-03-11_09h44.21.827,Reversal,2023.1.3,59.90621083639333,4,
