trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,total_learning_time,estimation_exp3.png,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,False,10,91,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.22177252118982516,0,invalid_lose,635.2829941,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,False,11,92,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.6061721387347937,0,valid_lose,639.2316265999998,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,False,12,93,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp3.png,exp4.png,1,3,reversed,incorrect,0.3200756846578513,0,valid_lose,643.6637157999994,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,False,13,94,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.9780627953084494,0,valid_lose,647.9788489000002,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,False,14,95,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.11097120856958387,0,invalid_lose,652.1449737999992,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,False,15,96,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.8339924426676198,0,valid_lose,656.7423820999993,41,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,False,16,97,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.44514192095073635,1,valid_win,661.0420254,42,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,False,17,98,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.027459018988413297,1,invalid_win,665.2730028000005,43,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,False,18,99,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.45106012641507465,1,valid_win,669.5712593000007,44,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,False,19,100,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.7312851327613016,0,valid_lose,673.6212940999994,44,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp1.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,791.8214590000007,,None,None,[],,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,793.4049617000001,,None,None,[],,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp3.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,793.9116333000002,,None,None,[],,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
,,,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,794.9407542999998,,None,None,[],,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,False,20,101,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.008220086572898189,0,invalid_lose,682.0182624999998,44,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,False,21,102,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.48843834759742133,0,valid_lose,686.5656844000005,44,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,False,22,103,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp3.png,exp4.png,0,4,reversed,correct,0.8246573424962733,1,valid_win,691.0974139000009,45,,,,,,,,,,,,,,,sub_816,2024-12-22_12h29.33.442,Reversal,2023.1.3,60.039578089929854,4,
