trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.051856123722465286,0,invalid_lose,3.865668799960986,0,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.49213276040914755,0,valid_lose,10.765860999934375,0,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.41286644184294596,1,valid_win,15.748869800008833,1,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.6020530311852854,0,valid_lose,22.99874610011466,1,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.8180478103403241,1,valid_win,27.365756100043654,2,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.05057674173798943,0,invalid_lose,32.065364700043574,2,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.6426071605241391,0,valid_lose,40.582306700060144,2,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.3577663799725851,1,valid_win,45.38179220003076,3,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.1499433843595689,0,invalid_lose,52.29835469997488,3,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8212610426391057,0,valid_lose,58.031574100023136,3,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4536716997374396,1,valid_win,62.931502300081775,4,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.7022170117219747,1,valid_win,68.01457040011883,5,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.6578941612986606,1,valid_win,73.21494790003635,6,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.801527797237906,1,valid_win,78.24787000007927,7,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.04985434564558,0,invalid_lose,83.11438919999637,7,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.41348841306933015,1,valid_win,88.69917339994572,8,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7255693363866936,1,valid_win,94.23097350005992,9,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9769224254538792,1,valid_win,98.91403520014137,10,,,,,,,,,,,,,,,,,,sub_899,2025-03-21_10h55.06.557,Reversal,2022.1.2,60.02386544701902,3,
