trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp4.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.991485511954543,1,valid_win,8.478834399953485,1,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.3132678772627564,0,valid_lose,16.760982800042257,1,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.9820873629359125,1,valid_win,23.543436999898404,2,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.3139992863623079,1,valid_win,29.69363659992814,3,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.575379128335862,1,valid_win,39.79229849996045,4,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.16684627991687206,0,invalid_lose,46.24121619993821,4,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.939274682345163,0,valid_lose,56.12295969994739,4,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.8278944625820929,0,valid_lose,63.60604209988378,4,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.04093930256045675,1,invalid_win,71.20436510001309,5,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.0179501733509968,1,invalid_win,77.35320609994233,6,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.01055832526159528,0,invalid_lose,88.66803539986722,6,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.09110179610136093,1,invalid_win,93.83476209989749,7,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.27495284711013834,0,valid_lose,102.88299060007557,7,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.6337750861686735,0,valid_lose,108.23240550002083,7,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.364832651062044,1,valid_win,114.64802780002356,8,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.935220851215407,1,valid_win,121.79786429996602,9,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.3685240028328969,0,valid_lose,130.0474719000049,9,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.3631305436376452,1,valid_win,135.5958763998933,10,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.32812926200336334,1,valid_win,143.99527630000375,11,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.9826537898474966,1,valid_win,149.59479620005004,12,,,,,,,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,14.774519400205463,"[(31.0, 14.774519400205463)]",248.85071519995108,None,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,6.191764400107786,"[(63.0, 6.191764400107786)]",276.0581567999907,None,63.0,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],283.33843579981476,None,,,,,,,,,,sub_248,2022-10-18_11h38.41.572,Reversal,2022.1.1,59.96188821286934,4,
