trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate,
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.0990055972327144,0,invalid_lose,2.4788219002075493,0,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8271676785883796,1,valid_win,7.343413399998099,1,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8284805872222677,1,valid_win,12.492435300024226,2,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.09298732436169932,1,invalid_win,17.19093420007266,3,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.05480486122616435,0,invalid_lose,21.9888673000969,3,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9054754492017845,1,valid_win,27.85269180010073,4,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.930673313991024,0,valid_lose,32.80209890007973,4,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7176135474482525,1,valid_win,37.61611070018262,5,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2287823507757446,0,invalid_lose,42.24860789999366,5,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.1460907339202674,1,invalid_win,48.04565250012092,6,,,,,,,,,,,,,s_082,2,2022_Apr_10_1738,Reversal,3.2.4,59.928900341471895,
