trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,FALSE,39,100,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.678201539,1,valid_win,533.0987351,51,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,FALSE,40,101,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.838791432,1,valid_win,542.2468222,52,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,FALSE,41,102,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.096989918,1,invalid_win,547.3949416,53,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,FALSE,42,103,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.271723487,1,valid_win,555.509398,54,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,FALSE,43,104,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.480831579,0,valid_lose,560.8393748,54,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,FALSE,44,105,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.354017146,1,valid_win,565.1213596,55,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,FALSE,45,106,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.374838234,0,valid_lose,570.42142,55,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,FALSE,46,107,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.505825433,1,valid_win,575.2030437,56,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,8,8,8,,,,,,,,,FALSE,47,108,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.244479778,0,invalid_lose,580.0006426,56,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,9,9,9,,,,,,,,,FALSE,48,109,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.252538111,1,valid_win,584.6814036,57,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,10,10,10,,,,,,,,,FALSE,49,110,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.982042294,0,valid_lose,589.1635633,57,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,FALSE,50,111,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.850016571,0,valid_lose,592.8630417,57,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,FALSE,51,112,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.564767509,1,valid_win,595.7935856,58,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,FALSE,52,113,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.264390588,1,valid_win,598.7952582,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,FALSE,53,114,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.936537609,0,valid_lose,602.0437434,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,FALSE,54,115,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.88808468,0,valid_lose,605.3588426,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,FALSE,55,116,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.724394833,0,valid_lose,608.6736245,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,FALSE,56,117,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.142644267,0,invalid_lose,611.7277251,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,FALSE,57,118,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.197143251,0,invalid_lose,614.9894298,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,FALSE,58,119,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.748890263,0,valid_lose,618.1704111,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,20,20,20,,,,,,,,,FALSE,59,120,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.789217988,0,valid_lose,622.5190608,59,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,67,40,27,262.6898954,0,space,25.1232281,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
