trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate
17,exp3.png,exp4.png,2,0,2,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,56,57,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.822289772,1,valid_win,338.2489871,31,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
18,exp1.png,exp2.png,2,0,2,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,57,58,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.373654498,0,valid_lose,343.6459322,31,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
19,exp3.png,exp4.png,2,0,2,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,58,59,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.207383043,1,invalid_win,349.577186,32,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
20,exp1.png,exp2.png,2,0,2,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,59,60,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.611842399,1,valid_win,353.3587193,33,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,36,64,32,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,FALSE,0,61,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.489293998,0,valid_lose,369.2213027,33,,,,,366.4755244,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,FALSE,1,62,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.638153042,0,valid_lose,375.7189723,33,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,FALSE,2,63,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.368575246,1,valid_win,380.2183811,34,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,FALSE,3,64,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.345776886,1,valid_win,384.049668,35,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,FALSE,4,65,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.046543337,1,invalid_win,388.1985586,36,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,FALSE,5,66,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.619712798,1,valid_win,392.0808057,37,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,FALSE,6,67,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.50026731,0,valid_lose,396.0454352,37,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,FALSE,7,68,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.258176968,1,valid_win,399.9622066,38,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,FALSE,8,69,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.612835158,0,valid_lose,403.8756941,38,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,FALSE,9,70,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.00799592,0,invalid_lose,407.8581522,38,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,FALSE,10,71,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.437161245,0,valid_lose,411.8061304,38,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,FALSE,11,72,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.573011931,0,valid_lose,415.7240488,38,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,FALSE,12,73,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.864561473,1,valid_win,419.6710369,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,FALSE,13,74,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.96867087,0,valid_lose,423.6194952,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,FALSE,14,75,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.664122049,0,valid_lose,427.8676744,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,FALSE,15,76,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.944013744,0,valid_lose,431.7002695,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,FALSE,16,77,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.042517904,0,invalid_lose,435.5488912,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,FALSE,17,78,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.311466094,0,valid_lose,439.4312237,39,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,FALSE,18,79,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.075130795,1,invalid_win,443.6806894,40,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,FALSE,19,80,FALSE,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.049179387,0,invalid_lose,447.5785269,40,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,FALSE,20,81,FALSE,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.502242628,1,valid_win,457.6423822,41,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,FALSE,21,82,FALSE,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.034774513,1,invalid_win,461.8733701,42,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,FALSE,22,83,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.299017192,0,valid_lose,465.888814,42,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,FALSE,23,84,TRUE,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.241075586,1,invalid_win,469.7868865,43,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,FALSE,24,85,TRUE,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.393661347,1,valid_win,473.6863844,44,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,FALSE,25,86,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.863957834,1,valid_win,477.6353727,45,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,FALSE,26,87,TRUE,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.259996893,0,valid_lose,481.5504791,45,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,,FALSE,27,88,TRUE,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.324056675,1,valid_win,485.4159841,46,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,FALSE,28,89,FALSE,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.429701938,0,valid_lose,489.2810224,46,,,,,,,,,,,,,s_006,1,2020_Nov_15_1119,Reversal,3.2.4,60.15974818
