trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.08180391489865035,0,invalid_lose,3.344576000003144,0,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.6371091588122216,0,valid_lose,8.726351400007843,0,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.4873824735109472,1,valid_win,14.241294799998286,1,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.24045784097066392,0,invalid_lose,19.889299200003734,1,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.2830908445588284,1,valid_win,24.95412930000748,2,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8128175043858002,1,valid_win,30.08555040000647,3,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.48156186804598544,1,valid_win,34.71772630000487,4,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.4383162214845796,1,valid_win,39.59946920000948,5,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.13662176551888783,0,invalid_lose,44.76402480000979,5,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9131763971943001,1,valid_win,49.179132600009325,6,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.24466189356367363,0,invalid_lose,53.77777899999637,6,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.4815819836182518,1,valid_win,58.476092900004005,7,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.6446258706539247,1,valid_win,62.90827590000117,8,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9242228464798851,1,valid_win,67.9734349000064,9,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.23143778303138562,0,invalid_lose,72.33790920001047,9,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.4193153348328381,1,valid_win,76.66990680000163,10,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7372352953441584,1,valid_win,81.28503199999977,11,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.10471421035882755,0,invalid_lose,86.08372280000185,11,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.02349361557690821,0,invalid_lose,90.53247760000522,11,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.966988959493099,0,valid_lose,94.6969650999963,11,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.44777389999945,50.0,50.0,9.964078100005281,"[(50.0, 9.964078100005281)]",,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.49774059999618,,None,None,[],,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.81964299999527,,25.0,8.125882499996806,"[(25.0, 8.125882499996806)]",25.0,,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.56864589999896,,25.0,2.1595041999971727,"[(25.0, 2.1595041999971727)]",,25.0,,,,,,,,sub_331,2023-08-21_10h46.53.323,Reversal,2023.1.3,60.13536470408257,3,
