trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9780777383416837,1,valid_win,66.55870210000012,9,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.856519273969262,1,valid_win,72.40655579999975,10,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.034476565172309126,0,invalid_lose,77.17214310000008,10,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9545288564847032,1,valid_win,85.0202961,11,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.45166810145935776,0,valid_lose,89.56762500000013,11,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8057898651677994,1,valid_win,97.08169409999982,12,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6101524107005111,1,valid_win,102.71286950000012,13,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3114837008393956,1,valid_win,109.69491010000002,14,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.06377201495215667,1,invalid_win,123.43930180000007,15,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.28066850000005,62.0,62.0,14.273126800000227,"[(62.0, 14.273126800000227)]",,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.76879150000013,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.23192359999985,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.81148570000005,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3688453269728502,1,valid_win,160.0271643000001,16,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8650995720677882,1,valid_win,169.8093426999999,17,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
