trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5649252575477638,0,valid_lose,15.179123600013554,0,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.019908888502086053,1,invalid_win,34.22625730000436,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.34240080764862935,0,valid_lose,39.51064010011032,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.506240046840689,0,valid_lose,44.60870830016211,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.17037052182228818,0,invalid_lose,50.44088950008154,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7043409842472654,0,valid_lose,54.75676629994996,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.4819710834712383,0,valid_lose,59.05673160008155,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.28081477514321196,0,valid_lose,63.48963139997795,1,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.6527848013457512,1,valid_win,68.17244610004127,2,,,,,,,,,,,,,,,,sub_221,2022-10-20_13h48.15.315,Reversal,2022.1.1,59.92861302281393,1,
