trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,total_learning_time,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.9492605977567813,0,valid_lose,86.31501410005149,6,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6705501489505018,1,valid_win,92.24882820004132,7,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.30423095415338386,0,valid_lose,96.61504160007462,7,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6517098237032503,0,valid_lose,104.54867839999497,7,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9107442269978339,1,valid_win,114.76474859996233,8,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7506585750002296,0,valid_lose,123.4481717000017,8,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8454521831923664,0,valid_lose,128.29759600001853,8,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.9936169160949085,0,valid_lose,132.43104260007385,8,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.26455992512732984,1,valid_win,136.6146230000304,9,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],203.45620349992532,None,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,16.234219999983907,"[(47.0, 3.6341986000770703), (51.0, 6.270392299978994), (68.0, 14.267718799994327), (50.0, 16.234219999983907)]",216.6614394999342,None,50.0,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],239.59033289994113,None,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],242.72195189993363,None,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.5244562735524323,0,valid_lose,188.48012139997445,9,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9166187097373283,1,valid_win,193.3297164000105,10,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.7704087465099299,0,valid_lose,199.89673100004438,10,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8888948003777891,1,valid_win,204.0467810999835,11,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
