trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.2377947371493706,0,invalid_lose,96.43469869997352,6,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8462916821329851,1,valid_win,101.26867670001229,7,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6589426234992981,0,valid_lose,107.1182594000129,7,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.767825660303352,0,valid_lose,111.26758049998898,7,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6795812137566998,0,valid_lose,120.08254550001584,7,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.15460548914212513,1,invalid_win,125.76813560002483,8,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.3631554809402552,0,valid_lose,133.71457269997336,8,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5343531216545383,1,valid_win,138.56474010000238,9,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7035029174978705,1,valid_win,144.66331470001023,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,24.079092400032096,"[(31.0, 24.079092400032096)]",290.22893209999893,None,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,13.81463859998621,"[(31.0, 13.81463859998621)]",316.52851309999824,None,31.0,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,9.933023100020364,"[(30.0, 9.933023100020364)]",332.77283579995856,None,,30.0,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,7.008821600000374,"[(57.0, 7.008821600000374)]",345.68220109998947,None,,,57.0,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
