trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,total_learning_time,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,False,51,132,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.10546247699676559,1,invalid_win,792.1468443000049,76,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,False,52,133,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.898603477605475,1,valid_win,802.1601608000055,77,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,False,53,134,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.9074912389125577,0,valid_lose,807.0951027999981,77,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,False,54,135,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.09358275038558028,1,invalid_win,811.4414486000023,78,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,False,55,136,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.6571285386906057,1,valid_win,815.505530399998,79,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,False,56,137,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.18591419337289228,1,invalid_win,819.5208586000081,80,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,False,57,138,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.3247612181212809,1,valid_win,822.8028196000087,81,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,False,58,139,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7966439350134866,1,valid_win,826.8682931000076,82,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,False,59,140,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.631630143140475,1,valid_win,832.1836387999938,83,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,20,20,20,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp1.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,942.5994613000075,,None,None,[],,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,947.1096477000101,,38.0,0.4178855000063777,"[(38.0, 0.4178855000063777)]",38.0,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp3.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,953.0462754000037,,None,None,[],,,,,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,953.9229524999973,,49.0,6.310174799989909,"[(49.0, 6.310174799989909)]",,,,49.0,,,,,,,,,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,80,51,29,306.0999273000052,1,space,12.715557199990144,None,sub_266,2024-01-14_11h38.28.916,Reversal,2023.1.3,60.0356131208111,2,
