trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.9556201145993811,0,valid_lose,103.46581909999986,12,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7119814339827103,1,valid_win,108.23192829999971,13,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,10.288025500000003,"[(100.0, 10.288025500000003)]",215.9194991000004,None,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.5515089999998963,"[(10.0, 3.5515089999998963)]",229.68821339999977,None,10.0,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.3352139999997235,"[(100.0, 2.3352139999997235)]",234.6509113000002,None,,100.0,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],238.0856577000004,None,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6698481425908197,1,valid_win,145.5310709000005,14,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.33054454034254643,1,valid_win,149.7478189000003,15,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.20383832960167858,0,invalid_lose,154.11448240000027,15,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3211395684078485,1,valid_win,158.88096640000003,16,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.42606418807278335,1,valid_win,163.56441600000016,17,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.40169028566072706,0,valid_lose,167.84725789999993,17,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3396981716301376,1,valid_win,172.5637539999998,18,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3222143758844581,1,valid_win,177.18072120000033,19,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.02043418290614485,1,invalid_win,182.1474318999999,20,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8965076808429394,1,valid_win,187.14693700000043,21,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6691371448220172,1,valid_win,190.99468669999987,22,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.4993756804411491,1,valid_win,195.24712160000036,23,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2137335935993594,0,invalid_lose,199.7472426000004,23,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.28388508872069274,1,valid_win,204.2800672000003,24,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.28924740961147344,1,valid_win,208.74644439999975,25,,,,,,,,,,,,,,,,,,sub_054,2022-08-18_14h45.43.004,Reversal,2022.1.2,60.01752511759032,2,
