trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp4.png,estimation_exp1.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,13,13,13,,,,,,,,,False,33,114,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.05242165917103059,0,invalid_lose,616.0216866000005,61,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,False,34,115,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9902897834343692,1,valid_win,620.2718319999999,62,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,False,35,116,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.03001819506103176,0,invalid_lose,624.7221795,62,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,False,36,117,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.26161635124854254,0,valid_lose,629.9212284,62,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,False,37,118,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.6679617761748735,0,valid_lose,634.6374080999999,62,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,False,38,119,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.13089385421845612,1,invalid_win,638.8714210000003,63,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,False,39,120,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.23600593982927676,0,invalid_lose,643.1703471000005,63,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp1.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,72.0,8.925229400000717,"[(58.0, 2.108628800000588), (72.0, 8.925229400000717)]",742.9228791999999,None,,,72.0,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],752.8936622999995,None,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp3.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],757.1631820999996,None,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],759.1153883000002,None,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,False,40,121,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.14930379331434407,1,invalid_win,664.6040174000004,64,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,False,41,122,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.6628602643810309,1,valid_win,669.7870967000003,65,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,False,42,123,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8409159602691465,0,valid_lose,674.1700228000004,65,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,False,43,124,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.7766367169811121,0,valid_lose,678.4201399999997,65,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,False,44,125,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.583395504215481,0,valid_lose,682.6534941000004,65,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,False,45,126,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.2692762544300348,0,valid_lose,686.8534145999997,65,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,False,46,127,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.20142944783726613,1,invalid_win,691.3365191999997,66,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,False,47,128,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.8631169681979984,0,valid_lose,696.1538366,66,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,8,8,8,,,,,,,,,False,48,129,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7419971335059444,1,valid_win,700.3368571000005,67,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,9,9,9,,,,,,,,,False,49,130,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.5476783124494242,0,valid_lose,704.5198475000002,67,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,10,10,10,,,,,,,,,False,50,131,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.6725279135435457,0,valid_lose,708.6520919,67,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,False,51,132,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.6958086972434296,1,valid_win,712.8864459000001,68,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,False,52,133,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.5467873046370202,0,valid_lose,717.2195162000003,68,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,False,53,134,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.08740168488741962,1,invalid_win,721.2695227999998,69,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,False,54,135,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.2635657055010021,0,valid_lose,725.4190807999998,69,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,False,55,136,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.46260122187652997,1,valid_win,729.5695443,70,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,False,56,137,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.6338205491412199,0,valid_lose,733.7358226000001,70,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,False,57,138,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.9581206727558522,1,valid_win,737.8189442999997,71,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,False,58,139,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8336671886743815,0,valid_lose,742.5185972000004,71,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,False,59,140,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.7633780095271451,0,valid_lose,746.5352215999997,71,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,20,20,20,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp1.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,62.0,8.134890000000269,"[(50.0, 6.0505589000003965), (62.0, 8.134890000000269)]",846.2951192999994,None,,,62.0,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],855.3601219999996,None,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp3.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,61.0,1.5827174999994895,"[(61.0, 1.5827174999994895)]",856.7775434,None,,,,61.0,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],859.3270853999998,None,,,,,,,,,,,,,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,71,44,27,306.8274349000003,1,space,21.58578770000031,sub_490,2024-06-09_12h32.41.021,Reversal,2022.1.2,59.9916011758293,2,
