trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7517634728420107,0,valid_lose,52.49805310000002,9,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6555340471128409,1,valid_win,57.246282200000024,10,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.49043877209573505,0,valid_lose,61.64492709999999,10,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9886228883269683,1,valid_win,66.1096942,11,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9396678148430891,1,valid_win,70.4913483,12,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9236734992784073,1,valid_win,75.17320580000003,13,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.6049613067420481,1,valid_win,80.08835680000001,14,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.15646127241414332,0,invalid_lose,84.6533092,14,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.26868679489541025,1,valid_win,89.1352492,15,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.86185100000003,88.0,88.0,7.143698700000016,"[(88.0, 7.143698700000016)]",,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9814059,,9.0,3.174151600000016,"[(9.0, 3.174151600000016)]",9.0,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.91120700000002,,72.0,5.159436400000004,"[(71.0, 1.8776081999999974), (68.0, 4.17619830000001), (72.0, 5.159436400000004)]",,72.0,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.59717980000002,,31.0,1.5237672000000089,"[(31.0, 1.5237672000000089)]",,,31.0,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5864539505698615,1,valid_win,118.37541580000001,16,,,,,,,,,,,,,,,sub_981,2024-11-03_12h22.32.320,Reversal,2023.1.3,59.97285628523747,1,
