participant,image_file,estimation_response,block
sub_908,exp4.png,30.0,7
sub_908,exp1.png,1.0,12
sub_908,exp2.png,100.0,12
sub_908,exp3.png,1.0,13
sub_908,exp4.png,100.0,13
sub_908,exp1.png,1.0,18
sub_908,exp2.png,82.0,19
sub_908,exp3.png,1.0,19
sub_908,exp4.png,100.0,19
sub_908,exp3.png,16.0,31
sub_908,exp4.png,81.0,32
sub_908,exp1.png,1.0,37
sub_908,exp2.png,100.0,37
sub_908,exp3.png,100.0,38
sub_908,exp4.png,1.0,38
sub_908,exp1.png,1.0,43
sub_908,exp2.png,87.0,44
sub_908,exp3.png,1.0,44
sub_908,exp4.png,73.0,44
