participant,image_file,estimation_response,block
sub_871,exp1.png,50.0,6
sub_871,exp4.png,84.0,7
sub_871,exp1.png,100.0,12
sub_871,exp3.png,76.0,13
sub_871,exp4.png,20.0,13
sub_871,exp1.png,84.0,18
sub_871,exp2.png,77.0,19
sub_871,exp3.png,80.0,19
sub_871,exp4.png,20.0,19
sub_871,exp1.png,90.0,25
sub_871,exp2.png,26.0,25
sub_871,exp3.png,29.0,25
sub_871,exp4.png,81.0,25
sub_871,exp1.png,100.0,31
sub_871,exp2.png,19.0,31
sub_871,exp3.png,29.0,31
sub_871,exp4.png,19.0,32
sub_871,exp1.png,94.0,37
sub_871,exp2.png,80.0,37
sub_871,exp3.png,17.0,38
sub_871,exp1.png,91.0,43
