participant,image_file,estimation_response,block
sub_072,exp1.png,22.0,6
sub_072,exp2.png,82.0,6
sub_072,exp3.png,50.0,6
sub_072,exp4.png,87.0,7
sub_072,exp1.png,50.0,12
sub_072,exp2.png,88.0,12
sub_072,exp3.png,86.0,13
sub_072,exp4.png,14.0,13
sub_072,exp1.png,82.0,18
sub_072,exp2.png,81.0,19
sub_072,exp3.png,80.0,19
sub_072,exp4.png,19.0,19
sub_072,exp1.png,85.0,25
sub_072,exp2.png,22.0,25
sub_072,exp3.png,84.0,25
sub_072,exp4.png,19.0,25
sub_072,exp1.png,50.0,31
sub_072,exp2.png,50.0,31
sub_072,exp3.png,50.0,31
sub_072,exp4.png,50.0,32
sub_072,exp1.png,50.0,37
sub_072,exp2.png,90.0,37
sub_072,exp3.png,50.0,38
sub_072,exp4.png,88.0,38
sub_072,exp1.png,50.0,43
sub_072,exp2.png,95.0,44
sub_072,exp3.png,50.0,44
sub_072,exp4.png,89.0,44
