participant,image_file,estimation_response,block
sub_026,exp1.png,100.0,6
sub_026,exp2.png,1.0,6
sub_026,exp3.png,100.0,6
sub_026,exp4.png,1.0,7
sub_026,exp1.png,1.0,12
sub_026,exp2.png,100.0,12
sub_026,exp3.png,100.0,13
sub_026,exp4.png,1.0,13
sub_026,exp1.png,100.0,18
sub_026,exp2.png,1.0,19
sub_026,exp3.png,100.0,19
sub_026,exp4.png,1.0,19
sub_026,exp1.png,100.0,25
sub_026,exp2.png,1.0,25
sub_026,exp3.png,71.0,25
sub_026,exp4.png,91.0,25
sub_026,exp1.png,21.0,31
sub_026,exp2.png,89.0,31
sub_026,exp3.png,24.0,31
sub_026,exp4.png,50.0,32
sub_026,exp1.png,100.0,37
sub_026,exp2.png,50.0,37
sub_026,exp3.png,100.0,38
sub_026,exp4.png,1.0,38
