participant,image_file,estimation_response,block
sub_089,exp1.png,71.0,6
sub_089,exp2.png,24.0,6
sub_089,exp3.png,50.0,6
sub_089,exp4.png,62.0,7
sub_089,exp1.png,65.0,12
sub_089,exp2.png,24.0,12
sub_089,exp3.png,77.0,13
sub_089,exp4.png,37.0,13
sub_089,exp1.png,95.0,18
sub_089,exp2.png,10.0,19
sub_089,exp3.png,85.0,19
sub_089,exp4.png,30.0,19
sub_089,exp1.png,50.0,25
sub_089,exp2.png,50.0,25
sub_089,exp3.png,50.0,25
sub_089,exp4.png,50.0,25
sub_089,exp1.png,50.0,31
sub_089,exp2.png,50.0,31
sub_089,exp3.png,50.0,31
sub_089,exp4.png,50.0,32
sub_089,exp1.png,94.0,37
sub_089,exp2.png,4.0,37
sub_089,exp3.png,61.0,38
sub_089,exp4.png,45.0,38
