participant,image_file,estimation_response,block
sub_803,exp1.png,34.0,6
sub_803,exp2.png,76.0,6
sub_803,exp3.png,42.0,6
sub_803,exp4.png,66.0,7
sub_803,exp2.png,55.0,12
sub_803,exp3.png,46.0,13
sub_803,exp4.png,55.0,13
sub_803,exp1.png,55.0,18
sub_803,exp2.png,43.0,19
sub_803,exp3.png,32.0,19
sub_803,exp4.png,78.0,19
sub_803,exp1.png,81.0,25
sub_803,exp2.png,27.0,25
sub_803,exp3.png,59.0,25
sub_803,exp4.png,41.0,25
sub_803,exp1.png,65.0,31
sub_803,exp2.png,36.0,31
sub_803,exp3.png,37.0,31
sub_803,exp4.png,63.0,32
sub_803,exp1.png,88.0,37
sub_803,exp2.png,12.0,37
sub_803,exp3.png,33.0,38
sub_803,exp4.png,68.0,38
