participant,image_file,estimation_response,block
sub_732,exp1.png,50.0,6
sub_732,exp2.png,50.0,6
sub_732,exp3.png,50.0,6
sub_732,exp4.png,50.0,7
sub_732,exp1.png,50.0,12
sub_732,exp2.png,50.0,12
sub_732,exp3.png,50.0,13
sub_732,exp4.png,50.0,13
sub_732,exp1.png,1.0,18
sub_732,exp2.png,100.0,19
sub_732,exp3.png,1.0,19
sub_732,exp4.png,100.0,19
sub_732,exp1.png,50.0,25
sub_732,exp2.png,50.0,25
sub_732,exp3.png,50.0,25
sub_732,exp4.png,50.0,25
sub_732,exp1.png,72.0,31
sub_732,exp2.png,73.0,31
sub_732,exp3.png,69.0,31
sub_732,exp4.png,72.0,32
sub_732,exp1.png,22.0,37
sub_732,exp2.png,79.0,37
sub_732,exp3.png,89.0,38
sub_732,exp4.png,14.0,38
