participant,image_file,estimation_response,block
sub_230,exp1.png,50.0,6
sub_230,exp2.png,83.0,6
sub_230,exp3.png,10.0,6
sub_230,exp4.png,89.0,7
sub_230,exp1.png,12.0,12
sub_230,exp2.png,92.0,12
sub_230,exp3.png,94.0,13
sub_230,exp4.png,10.0,13
sub_230,exp1.png,6.0,18
sub_230,exp2.png,97.0,19
sub_230,exp3.png,7.0,19
sub_230,exp4.png,94.0,19
sub_230,exp1.png,96.0,25
sub_230,exp2.png,4.0,25
sub_230,exp3.png,98.0,25
sub_230,exp4.png,5.0,25
sub_230,exp1.png,100.0,31
sub_230,exp2.png,2.0,31
sub_230,exp3.png,94.0,31
sub_230,exp4.png,5.0,32
sub_230,exp1.png,100.0,37
sub_230,exp2.png,6.0,37
sub_230,exp3.png,100.0,38
sub_230,exp4.png,3.0,38
