participant,image_file,estimation_response,block
sub_140,exp1.png,3.0,6
sub_140,exp2.png,97.0,6
sub_140,exp3.png,3.0,6
sub_140,exp4.png,97.0,7
sub_140,exp1.png,98.0,12
sub_140,exp2.png,99.0,12
sub_140,exp3.png,1.0,13
sub_140,exp4.png,97.0,13
sub_140,exp1.png,1.0,18
sub_140,exp2.png,97.0,19
sub_140,exp3.png,1.0,19
sub_140,exp4.png,100.0,19
sub_140,exp1.png,100.0,25
sub_140,exp2.png,1.0,25
sub_140,exp3.png,99.0,25
sub_140,exp4.png,1.0,25
sub_140,exp1.png,100.0,31
sub_140,exp2.png,1.0,31
sub_140,exp3.png,100.0,31
sub_140,exp4.png,1.0,32
sub_140,exp1.png,100.0,37
sub_140,exp2.png,100.0,37
sub_140,exp3.png,100.0,38
sub_140,exp4.png,100.0,38
