participant,image_file,estimation_response,block
sub_164,exp1.png,71.0,6
sub_164,exp2.png,23.0,6
sub_164,exp3.png,84.0,6
sub_164,exp4.png,14.0,7
sub_164,exp1.png,92.0,12
sub_164,exp2.png,3.0,12
sub_164,exp3.png,91.0,13
sub_164,exp4.png,86.0,13
sub_164,exp1.png,100.0,18
sub_164,exp2.png,4.0,19
sub_164,exp3.png,50.0,19
sub_164,exp4.png,97.0,19
sub_164,exp1.png,87.0,25
sub_164,exp2.png,50.0,25
sub_164,exp3.png,6.0,25
sub_164,exp4.png,80.0,25
sub_164,exp1.png,14.0,31
sub_164,exp2.png,84.0,31
sub_164,exp3.png,7.0,31
sub_164,exp4.png,15.0,32
sub_164,exp1.png,97.0,37
sub_164,exp2.png,3.0,37
sub_164,exp3.png,81.0,38
sub_164,exp4.png,17.0,38
sub_164,exp1.png,14.0,43
sub_164,exp2.png,10.0,44
sub_164,exp3.png,82.0,44
sub_164,exp4.png,94.0,44
