participant,image_file,estimation_response,block
sub_880,exp1.png,50.0,6
sub_880,exp2.png,50.0,6
sub_880,exp3.png,11.0,6
sub_880,exp4.png,91.0,7
sub_880,exp1.png,86.0,12
sub_880,exp2.png,88.0,12
sub_880,exp3.png,17.0,13
sub_880,exp4.png,86.0,13
sub_880,exp1.png,91.0,18
sub_880,exp2.png,88.0,19
sub_880,exp3.png,52.0,19
sub_880,exp4.png,74.0,19
sub_880,exp1.png,62.0,25
sub_880,exp2.png,65.0,25
sub_880,exp3.png,50.0,25
sub_880,exp4.png,64.0,25
sub_880,exp1.png,65.0,31
sub_880,exp2.png,65.0,31
sub_880,exp3.png,57.0,31
sub_880,exp4.png,58.0,32
sub_880,exp1.png,66.0,37
sub_880,exp2.png,67.0,37
sub_880,exp3.png,87.0,38
sub_880,exp4.png,70.0,38
