participant,image_file,estimation_response,block
sub_401,exp1.png,73.0,6
sub_401,exp2.png,26.0,6
sub_401,exp3.png,77.0,6
sub_401,exp4.png,30.0,7
sub_401,exp1.png,85.0,12
sub_401,exp2.png,25.0,12
sub_401,exp3.png,81.0,13
sub_401,exp4.png,24.0,13
sub_401,exp1.png,88.0,18
sub_401,exp2.png,10.0,19
sub_401,exp3.png,90.0,19
sub_401,exp4.png,10.0,19
sub_401,exp1.png,99.0,25
sub_401,exp2.png,1.0,25
sub_401,exp3.png,100.0,25
sub_401,exp4.png,1.0,25
sub_401,exp1.png,100.0,31
sub_401,exp2.png,1.0,31
sub_401,exp1.png,59.0,37
sub_401,exp2.png,24.0,37
sub_401,exp3.png,97.0,38
