participant,image_file,estimation_response,block
sub_1502,exp1.png,51.0,6
sub_1502,exp2.png,35.0,6
sub_1502,exp3.png,63.0,6
sub_1502,exp4.png,20.0,7
sub_1502,exp1.png,41.0,12
sub_1502,exp2.png,61.0,12
sub_1502,exp3.png,61.0,13
sub_1502,exp4.png,57.0,13
sub_1502,exp1.png,78.0,18
sub_1502,exp2.png,20.0,19
sub_1502,exp3.png,70.0,19
sub_1502,exp4.png,23.0,19
sub_1502,exp1.png,38.0,25
sub_1502,exp2.png,63.0,25
sub_1502,exp3.png,40.0,25
sub_1502,exp4.png,72.0,25
sub_1502,exp1.png,19.0,31
sub_1502,exp2.png,90.0,31
sub_1502,exp3.png,15.0,31
sub_1502,exp4.png,93.0,32
sub_1502,exp1.png,22.0,37
sub_1502,exp2.png,86.0,37
sub_1502,exp3.png,10.0,38
sub_1502,exp4.png,92.0,38
