participant,image_file,estimation_response,block
sub_529,exp1.png,50.0,6
sub_529,exp2.png,50.0,6
sub_529,exp3.png,50.0,6
sub_529,exp4.png,50.0,7
sub_529,exp1.png,50.0,12
sub_529,exp2.png,50.0,12
sub_529,exp3.png,50.0,13
sub_529,exp4.png,50.0,13
sub_529,exp1.png,50.0,18
sub_529,exp2.png,50.0,19
sub_529,exp3.png,50.0,19
sub_529,exp4.png,50.0,19
sub_529,exp1.png,50.0,25
sub_529,exp2.png,50.0,25
sub_529,exp3.png,50.0,25
sub_529,exp4.png,50.0,25
sub_529,exp1.png,50.0,31
sub_529,exp2.png,25.0,31
sub_529,exp3.png,21.0,31
sub_529,exp4.png,67.0,32
sub_529,exp1.png,50.0,37
sub_529,exp2.png,25.0,37
sub_529,exp3.png,70.0,38
sub_529,exp4.png,50.0,38
sub_529,exp1.png,17.0,43
sub_529,exp2.png,84.0,44
sub_529,exp3.png,50.0,44
sub_529,exp4.png,50.0,44
