participant,image_file,estimation_response,block
sub_765,exp1.png,100.0,6
sub_765,exp3.png,100.0,6
sub_765,exp4.png,100.0,7
sub_765,exp1.png,100.0,12
sub_765,exp2.png,100.0,12
sub_765,exp3.png,100.0,13
sub_765,exp4.png,100.0,13
sub_765,exp1.png,100.0,18
sub_765,exp2.png,100.0,19
sub_765,exp3.png,100.0,19
sub_765,exp4.png,100.0,19
sub_765,exp1.png,100.0,25
sub_765,exp2.png,100.0,25
sub_765,exp3.png,1.0,25
sub_765,exp4.png,1.0,25
sub_765,exp1.png,100.0,31
sub_765,exp2.png,100.0,31
sub_765,exp3.png,1.0,31
sub_765,exp4.png,1.0,32
sub_765,exp1.png,100.0,37
sub_765,exp2.png,100.0,37
sub_765,exp3.png,1.0,38
sub_765,exp4.png,1.0,38
sub_765,exp1.png,100.0,43
sub_765,exp2.png,100.0,44
sub_765,exp3.png,1.0,44
sub_765,exp4.png,1.0,44
