participant,image_file,estimation_response,block
sub_512,exp1.png,19.0,6
sub_512,exp2.png,94.0,6
sub_512,exp3.png,64.0,6
sub_512,exp4.png,83.0,7
sub_512,exp1.png,29.0,12
sub_512,exp2.png,83.0,12
sub_512,exp3.png,62.0,13
sub_512,exp4.png,93.0,13
sub_512,exp1.png,59.0,18
sub_512,exp2.png,75.0,19
sub_512,exp3.png,41.0,19
sub_512,exp4.png,86.0,19
sub_512,exp1.png,68.0,25
sub_512,exp2.png,57.0,25
sub_512,exp3.png,41.0,25
sub_512,exp4.png,74.0,25
sub_512,exp1.png,64.0,31
sub_512,exp2.png,59.0,31
sub_512,exp3.png,76.0,31
sub_512,exp4.png,70.0,32
sub_512,exp1.png,76.0,37
sub_512,exp2.png,62.0,37
sub_512,exp3.png,91.0,38
sub_512,exp4.png,35.0,38
