participant,image_file,estimation_response,block
sub_711,exp1.png,100.0,6
sub_711,exp2.png,50.0,6
sub_711,exp3.png,50.0,6
sub_711,exp4.png,50.0,7
sub_711,exp1.png,50.0,12
sub_711,exp2.png,50.0,12
sub_711,exp3.png,50.0,13
sub_711,exp4.png,99.0,13
sub_711,exp1.png,50.0,18
sub_711,exp2.png,50.0,19
sub_711,exp3.png,50.0,19
sub_711,exp4.png,50.0,19
sub_711,exp1.png,100.0,25
sub_711,exp2.png,50.0,25
sub_711,exp3.png,50.0,25
sub_711,exp4.png,50.0,25
sub_711,exp1.png,50.0,31
sub_711,exp2.png,50.0,31
sub_711,exp3.png,50.0,31
sub_711,exp4.png,50.0,32
sub_711,exp1.png,93.0,37
sub_711,exp2.png,92.0,37
sub_711,exp3.png,97.0,38
sub_711,exp4.png,98.0,38
sub_711,exp1.png,100.0,43
sub_711,exp2.png,96.0,44
sub_711,exp3.png,96.0,44
sub_711,exp4.png,87.0,44
