participant,image_file,estimation_response,block
sub_799,exp1.png,75.0,6
sub_799,exp2.png,22.0,6
sub_799,exp3.png,23.0,6
sub_799,exp4.png,81.0,7
sub_799,exp1.png,56.0,12
sub_799,exp2.png,61.0,12
sub_799,exp3.png,18.0,13
sub_799,exp4.png,79.0,13
sub_799,exp1.png,13.0,18
sub_799,exp2.png,82.0,19
sub_799,exp3.png,77.0,19
sub_799,exp4.png,28.0,19
sub_799,exp1.png,69.0,25
sub_799,exp3.png,58.0,25
sub_799,exp4.png,43.0,25
sub_799,exp1.png,76.0,31
sub_799,exp2.png,27.0,31
sub_799,exp3.png,95.0,31
sub_799,exp4.png,8.0,32
sub_799,exp3.png,32.0,38
sub_799,exp4.png,66.0,38
sub_799,exp1.png,62.0,43
sub_799,exp2.png,34.0,44
sub_799,exp3.png,50.0,44
