participant,image_file,estimation_response,block
sub_926,exp1.png,100.0,6
sub_926,exp2.png,1.0,6
sub_926,exp3.png,100.0,6
sub_926,exp4.png,1.0,7
sub_926,exp1.png,100.0,12
sub_926,exp2.png,1.0,12
sub_926,exp3.png,92.0,13
sub_926,exp4.png,7.0,13
sub_926,exp1.png,93.0,18
sub_926,exp2.png,8.0,19
sub_926,exp3.png,77.0,19
sub_926,exp4.png,25.0,19
sub_926,exp1.png,93.0,25
sub_926,exp2.png,8.0,25
sub_926,exp3.png,85.0,25
sub_926,exp4.png,14.0,25
sub_926,exp1.png,78.0,31
sub_926,exp2.png,37.0,31
sub_926,exp1.png,87.0,43
sub_926,exp2.png,18.0,44
sub_926,exp3.png,1.0,44
sub_926,exp4.png,100.0,44
