participant,image_file,estimation_response,block
sub_177,exp1.png,50.0,6
sub_177,exp2.png,50.0,6
sub_177,exp3.png,50.0,6
sub_177,exp4.png,50.0,7
sub_177,exp1.png,50.0,12
sub_177,exp2.png,50.0,12
sub_177,exp3.png,50.0,13
sub_177,exp4.png,50.0,13
sub_177,exp1.png,50.0,18
sub_177,exp2.png,50.0,19
sub_177,exp3.png,50.0,19
sub_177,exp4.png,50.0,19
sub_177,exp1.png,50.0,25
sub_177,exp2.png,50.0,25
sub_177,exp3.png,50.0,25
sub_177,exp4.png,50.0,25
sub_177,exp1.png,50.0,31
sub_177,exp2.png,50.0,31
sub_177,exp3.png,50.0,31
sub_177,exp4.png,50.0,32
sub_177,exp1.png,50.0,37
sub_177,exp2.png,50.0,37
sub_177,exp3.png,50.0,38
sub_177,exp4.png,50.0,38
sub_177,exp1.png,35.0,43
sub_177,exp2.png,38.0,44
sub_177,exp3.png,43.0,44
sub_177,exp4.png,42.0,44
