participant,image_file,estimation_response,block
sub_1557,exp1.png,45.0,6
sub_1557,exp2.png,43.0,6
sub_1557,exp3.png,44.0,6
sub_1557,exp4.png,54.0,7
sub_1557,exp1.png,78.0,12
sub_1557,exp2.png,19.0,12
sub_1557,exp3.png,70.0,13
sub_1557,exp4.png,35.0,13
sub_1557,exp1.png,74.0,18
sub_1557,exp2.png,30.0,19
sub_1557,exp3.png,42.0,19
sub_1557,exp4.png,39.0,19
sub_1557,exp1.png,43.0,25
sub_1557,exp2.png,45.0,25
sub_1557,exp3.png,55.0,25
sub_1557,exp4.png,53.0,25
sub_1557,exp1.png,36.0,31
sub_1557,exp2.png,56.0,31
sub_1557,exp3.png,59.0,31
sub_1557,exp4.png,44.0,32
sub_1557,exp1.png,54.0,37
sub_1557,exp2.png,44.0,37
sub_1557,exp3.png,68.0,38
sub_1557,exp4.png,53.0,38
