participant,image_file,estimation_response,block
sub_403,exp1.png,74.0,6
sub_403,exp2.png,35.0,6
sub_403,exp3.png,64.0,6
sub_403,exp1.png,26.0,12
sub_403,exp2.png,89.0,12
sub_403,exp3.png,37.0,13
sub_403,exp4.png,75.0,13
sub_403,exp1.png,21.0,18
sub_403,exp2.png,93.0,19
sub_403,exp3.png,30.0,19
sub_403,exp4.png,75.0,19
sub_403,exp1.png,20.0,25
sub_403,exp2.png,91.0,25
sub_403,exp3.png,32.0,25
sub_403,exp4.png,96.0,25
sub_403,exp1.png,35.0,31
sub_403,exp2.png,90.0,31
sub_403,exp3.png,36.0,31
sub_403,exp4.png,83.0,32
sub_403,exp1.png,71.0,37
sub_403,exp2.png,89.0,37
sub_403,exp3.png,77.0,38
